UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WASES,Washington DNR,Yaxon Canyon,2014-09-22,45.83826974,Lightning,Cashmere,Chelan County
WASES,Washington DNR,Foster Creek,2014-06-03,377.30755529,Lightning,Bridgeport,Douglas County
WASES,Washington DNR,Box Canyon,2014-08-03,54.74024668,Lightning,Goldendale,Klickitat County
WASES,Washington DNR,Auvil Canyon,2014-08-21,633.13544534,Lightning,Entiat,Chelan County
WASES,Washington DNR,BMIDC INC 881,2014-08-11,131.76951686,Lightning,Asotin,Asotin County
WASES,Washington DNR,BMIDC INC 879,2014-08-11,30.07019646,Lightning,Asotin,Asotin County
WAPCS,Washington DNR,Teague Rd,2014-08-10,58.57169876,,Rochester,Thurston County
WACOA,Colville Agency,Belvedere,2014-06-04,865.45746464,,Coulee Dam,Okanogan County
WACOA,Colville Agency,Brody Canyon,2014-06-12,818.24419222,,Coulee Dam,Okanogan County
WACOA,Colville Agency,Lawson Flats,2014-04-07,410.67404833,Human,Kettle Falls,Stevens County
WANES,Washington DNR,Running Deer,2014-08-27,25.61096661,,Deer Park,Spokane County
WASES,Washington DNR,Saddle Mountain,2014-07-18,24917.4430235,,Mattawa,Grant County
WAPCS,Washington DNR,Mineral Hill,2014-09-07,6.09674576,,Eatonville,Pierce County
WASPD,Spokane BLM,Malaga,2014-05-28,1248.52300937,Lightning,South Wenatchee,Chelan County
WACOA,Colville Agency,Silver Creek II,2014-07-04,273.91415006,Human,Coulee Dam,Okanogan County
WAWFS,Washington Fire Ser,Rock Hill,2014-07-06,1129.53258719,Human,Chelan,Chelan County
WANES,Washington DNR,Lake Spokane,2014-07-09,1016.31089077,Structure Fire,Fairchild Air Force Base,Spokane County
WASPD,Spokane BLM,R Road,2014-07-16,3320.86240466,Unknown,Coulee Dam,Okanogan County
WANES,Washington DNR,Bugg Road,2014-07-21,1168.9473472,Human,Tonasket,Okanogan County
WAWFS,,Snake River,2016-08-02,11366.2383583,Human,Pullman,Whitman County
WAOLP,,Cox Valley,2016-07-21,56.99803276,Lightning,Port Angeles,Clallam County
WANWS,,Proctor Creek 62 RD,2016-05-13,289.1534681,Undetermined,Gold Bar,Snohomish County
WANWS,,Hot Shot,2016-05-12,59.49864516,Undetermined,Arlington Heights,Snohomish County
WASPD,,Webber Canyon,2016-05-11,504.28727933,Undetermined,Benton City,Benton County
WASPD,,Sunland,2016-05-29,1912.50082456,Human,Quincy,Grant County
WACOA,,Timm Ranch,2016-06-08,1357.30197908,Undetermined,Bridgeport,Douglas County
WASPD,,Beam Road,2016-06-20,1293.9548962,Human,Granger,Yakima County
WASPD,,Rocky Ford,2016-07-09,1951.63481456,Human,Ritzville,Adams County
WASPD,,McBee Command,2016-07-14,1689.169807,Human,Benton City,Benton County
WASES,,Antilon Lake,2016-07-29,827.07512359,Undetermined,Manson,Chelan County
WASPD,,Black Rock Road,2016-07-30,16005.3367158,Undetermined,Moses Lake,Grant County
WAOWF,,Halfway,2016-07-31,341.24727719,Human,Cle Elum,Kittitas County
WASPD,,Range 12,2016-07-30,176580.632227,Undetermined,Sunnyside,Yakima County
WAWFS,,Road 10,2016-08-02,2567.78460001,Undetermined,Moses Lake North,Grant County
WACOA,,Kewa,2016-08-02,1893.98283231,Undetermined,Kettle Falls,Stevens County
WAYAA,,Tule #6,2016-08-21,8469.38745188,Undetermined,Toppenish,Yakima County
WAWFS,,Kahlotus,2016-08-21,8463.65624902,Undetermined,Connell,Franklin County
WANES,,Wellesley,2016-08-21,341.17202585,Undetermined,Millwood,Spokane County
WANES,,Cayuse Mtn.,2016-08-21,18095.9621138,Human,Davenport,Lincoln County
WANES,,Yale,2016-08-21,5870.23431293,Undetermined,Opportunity,Spokane County
WANES,,Hart,2016-08-21,4936.4593469,Undetermined,Davenport,Lincoln County
WANES,,Deep North,2016-08-21,590.98275031,Undetermined,Colville,Stevens County
WAOWF,,Buck Creek,2016-07-22,3207.42894668,Lightning,Leavenworth,Chelan County
WAOWF,,Saul,2016-08-21,463.72948942,Undetermined,Leavenworth,Chelan County
WASES,,Suncrest,2016-08-27,420.1242931,Undetermined,Leavenworth,Chelan County
WAMCR,,Division Road,2016-08-10,722.28631859,Undetermined,Royal City,Grant County
WASPD,,Lower Crab Creek,2016-08-05,5746.62855081,Undetermined,Mattawa,Grant County
WAOLP,,Hayes Two,2016-07-26,2389.91562969,Lightning,Port Angeles East,Clallam County
WAOLP,,Godkin,2016-07-25,563.31253855,Lightning,Port Angeles,Clallam County
WAOLP,,Ignar Creek,2016-07-29,79.93269319,Lightning,Port Angeles East,Clallam County
WASPD,,Morris Lane,2016-07-28,1414.59684731,Human,Zillah,Yakima County
WACOA,,Elmer City,2016-09-11,5491.12971156,Human,Coulee Dam,Okanogan County
WAWFS,,Starbuck,2016-07-17,2481.14590226,Human,Dayton,Columbia County
WAWFS,,Fletcher Road,2016-08-07,6780.17979776,Lightning,Waitsburg,Walla Walla County
WAWFS,,230 Switch Yard,2016-09-12,234.20965434,Undetermined,Coulee Dam,Okanogan County
WASPD,,Old Lady Creek,2016-09-10,2548.08772882,Undetermined,Moro,Sherman County
WAOWF,,Rock Creek,2016-09-10,1382.51251178,Undetermined,Cle Elum,Kittitas County
WANES,,Pickens North,2016-08-24,724.04506887,Human,Tonasket,Okanogan County
WAWFS,,South Ward Gap,2016-07-31,5039.58148546,Undetermined,Prosser,Benton County
WANCP,North Cascades NP,Lone Mountain 1,2014-07-14,2436.74857203,Lightning,Granite Falls,Chelan County
WAWFS,Washington Fire Ser,Sand Ridge,2014-08-20,2276.76287945,Lightning,Mabton,Yakima County
WAOWF,Okan-Wen NF,Little Bridge Creek,2014-08-03,4959.32442996,Lightning,Granite Falls,Chelan County
WAOWF,Okan-Wen NF,Shoofly,2014-08-04,163.0532491,Lightning,Leavenworth,Chelan County
WAWFS,Washington Fire Ser,Trinidad,2014-09-13,211.19507186,Human,Quincy,Grant County
WAOWF,Okan-Wen NF,Middle Mountain,2014-07-13,412.45699483,Lightning,Princeton,
WAWFS,Washington Fire Ser,Monumental,2014-09-03,11402.425846,Human,Waitsburg,Walla Walla County
WASPD,Spokane BLM,Bighorn,2014-08-06,265.97106209,,Kittitas,Kittitas County
WASPD,Spokane BLM,Coyote Flats,2014-07-14,1785.49944535,Lightning,Soap Lake,Grant County
WASES,Washington DNR,Station,2014-08-04,37.38143805,Unknown,Goldendale,Klickitat County
