UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,2001-08-01,128.72576743,UNKNOWN
WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),2001-08-12,584.61616996,UNKNOWN
WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,2001-07-09,3789.27302155,UNKNOWN
WAOWF,OKAN-WEN NF,REX CREEK FIRE,2001-08-12,44581.48303191,UNKNOWN
WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),2001-09-15,312.56508176,UNKNOWN
WANES,WA DNR - NE REGION,PINGSTON,2007-07-28,126.1982665,UNKNOWN
WACOA,COLVILLE AGENCY,ABRAHAM CANYON,2008-07-10,372.33179875,UNKNOWN
WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,2001-08-16,2722.11064738,UNKNOWN
WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),2001-08-12,32978.7297895,UNKNOWN
WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,2001-09-16,647.1737262,UNKNOWN
WASES,WA DNR - SE REGION,TOUCHET ROAD,2001-08-01,258.25443063,UNKNOWN
WASES,WA DNR - SE REGION,UNION VALLEY FIRE,2001-07-27,4523.3080209,UNKNOWN
WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,2002-08-16,2280.88454823,UNKNOWN
WAOWF,OKAN-WEN NF,DEER POINT FIRE,2002-07-15,20993.93033698,UNKNOWN
WASES ,WA DNR - SE REGION,EWE NECK FIRE,2002-08-01,75.9503038,UNKNOWN
WANES,WA DNR - NE REGION,BLACK CANYON FIRE,2003-08-10,2281.36471544,UNKNOWN
WANES,WA DNR - NE REGION,BULLDOG FIRE,2003-09-05,411.58409583,UNKNOWN
WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),2003-06-30,81233.40724807,UNKNOWN
WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),2003-06-30,74.02080802,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),2003-08-07,169.78598676,UNKNOWN
WAOWF,OKAN-WEN NF,MAPLE,2003-09-06,1626.25142006,UNKNOWN
WACOA,COLVILLE AGENCY,MCGINNIS FLAT,2003-07-18,2255.85284801,UNKNOWN
WAOWF,OKAN-WEN NF,NEEDLES FIRE,2003-09-03,19328.21003774,UNKNOWN
WAMRP,MOUNT RAINIER NP,PANTHER FIRE (MOUNT RAINIER COMPLEX),2003-08-21,43.95596095,UNKNOWN
WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,2003-07-05,10486.7618965,UNKNOWN
WAMRP,MOUNT RAINIER NP,REDSTONE FIRE (MOUNT RAINIER COMPLEX),2003-08-21,46.97740324,UNKNOWN
WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,2003-08-26,903.30043368,UNKNOWN
WASPD,SPOKANE BLM,BEEBE,2004-07-04,4205.59362447,UNKNOWN
WANES,WA DNR - NE REGION,BOTTLE TWO,2004-06-21,33.38955045,LIGHTNING
WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),2004-06-19,29995.51187816,UNKNOWN
WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,2004-08-16,295.32827038,UNKNOWN
WACOA,COLVILLE AGENCY,ELMER CITY,2004-07-29,1928.78592682,HUMAN
WAOWF,OKAN-WEN NF,FISCHER,2004-08-08,16425.33218253,EQUIPMENT USE
WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),2004-06-24,708.04545155,LIGHTNING
