UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WANCP,NORTH CASCADES NP,SNOWFIELD,2015-08-10,184.05096826,UNKNOWN
WANCP,NORTH CASCADES NP,GOODELL,2015-08-10,7118.08907997,LIGHTNING
WANCP,NORTH CASCADES NP,CAT ISLAND,2015-08-10,147.83188245,LIGHTNING
WAOLP,OLYMPIC NP,PARADISE,2015-06-15,2798.07884583,LIGHTNING
WANES,WA DNR - NE REGION,GOLD HILL,2015-08-31,556.41682836,LIGHTNING
WANCP,NORTH CASCADES NP,THURSDAY CREEK,2015-08-10,566.29689074,LIGHTNING
WANCP,NORTH CASCADES NP,NO NAME 15,2015-08-10,344.15597123,LIGHTNING
WANES,WA DNR - NE REGION,TWISP RIVER,2015-08-19,11222.18847875,UNKNOWN
WANES,WA DNR - NE REGION,MARBLE VALLEY,2015-08-14,3082.02413743,UNKNOWN
WAOWF,OKAN-WEN NF,BLANKENSHIP,2015-07-13,212.37960162,UNKNOWN
WACOF,COLVILLE NF,HALL MOUNTAIN,2015-08-17,39.20676821,UNKNOWN
WANES,WA DNR - NE REGION,ONATA CREEK,2015-08-17,546.71084557,LIGHTNING
WAOWF,OKAN-WEN NF,FIRST CREEK,2015-08-14,7491.362948100001,LIGHTNING
WAYAA,BIA - YAKIMA,COUGAR CREEK,2015-08-10,53513.97934638,LIGHTNING
WAOWF,OKAN-WEN NF,MEEKS TABLE,2015-09-12,1021.37580047,UNKNOWN
WASES,WA DNR - SE REGION,HORSETHIEF BUTTE,2015-09-14,6383.44221761,UNKNOWN
WAMCR,MID COLUMBIA NWR,STATELINE,2015-09-13,8007.52977668,UNKNOWN
WASPS,WA DNR - SPS REGION,SAWMILL CREEK,2017-09-04,1098.52468357,UNKNOWN
WAOWF,OKAN-WEN NF,UNO PEAK,2017-08-30,8751.09812245,UNKNOWN
WAOWF,OKAN-WEN NF,NORSE PEAK,2017-08-11,52062.07479758,LIGHTNING
WAOWF,OKAN-WEN NF,DIAMOND CREEK,2017-07-23,127785.83752256,UNKNOWN
WASPD,SPOKANE BLM,JAMESON LAKE,2015-07-10,6363.96527978,LIGHTNING
WASPD,SPOKANE BLM,SOUTH SULPHUR SPRINGS,2015-06-12,763.76924511,UNKNOWN
WASPD,SPOKANE BLM,SEVEN SPRINGS,2015-08-10,542.16641593,UNKNOWN
WANES,WA DNR - NE REGION,I-90 SPRAGUE,2015-08-01,1692.24003466,UNKNOWN
WAMCR,MID COLUMBIA NWR,SADDLE MOUNTAIN,2015-06-29,446.62559723,UNKNOWN
WAWFS,WA FIRE SERVICE,MONUMENT,2015-06-30,1954.18360665,UNKNOWN
WABENN,BENTON COUNTY FD,LES BLAIR,2015-06-27,865.57726598,UNKNOWN
WASPD,SPOKANE BLM,BERRIAN,2015-06-27,876.77192871,UNKNOWN
WASPD,SPOKANE BLM,OUTLAW DRAW,2015-07-15,1980.53602216,UNKNOWN
WACOF,COLVILLE NF,TOWER,2015-08-12,24734.28966489,LIGHTNING
WACOF,COLVILLE NF,GREASE CREEK,2015-08-14,730.26467185,LIGHTNING
WACOF,COLVILLE NF,SOUTH FORK SLATE TRAIL - D5,2015-08-18,170.93119729,UNKNOWN
WACOF,COLVILLE NF,STICKPIN,2015-08-11,53828.52793618,LIGHTNING
WACOF,COLVILLE NF,RENNER,2015-08-17,13794.41134383,UNKNOWN
WACOF,COLVILLE NF,GRAVES MOUNTAIN,2015-08-14,8570.23286642,LIGHTNING
ORUMF,UMATILLA NF,BEAR RIDGE,2015-08-13,1943.18944025,LIGHTNING
ORUMF,UMATILLA NF,BUTTE CREEK,2015-08-13,78759.43333982,LIGHTNING
ORUMF,UMATILLA NF,GREEN RIDGE,2015-08-13,2.91894784,LIGHTNING
ORUMF,UMATILLA NF,WEST BUTTE,2015-08-13,4.31466382,LIGHTNING
WAOWF,OKAN-WEN NF,LIME BELT,2015-08-14,133821.38283772,LIGHTNING
WACOA,COLVILLE AGENCY,NORTH STAR,2015-08-13,218251.93500824,HUMAN
WANES,WA DNR - NE REGION,TUNK BLOCK,2015-08-14,165923.95230543,LIGHTNING
WAOWF,OKAN-WEN NF,NEWBY LAKE,2015-07-02,5158.25346378,LIGHTNING
WAOWF,OKAN-WEN NF,KELLY MOUNTAIN,2014-07-16,124.17705199,LIGHTNING
WAOWF,OKAN-WEN NF,DUNCAN,2014-07-16,12697.04812733,LIGHTNING
WASES,WA DNR - SE REGION,SNAG CANYON,2014-08-02,12595.053042,LIGHTNING
WASES,WA DNR - SE REGION,HANSEL CREEK,2014-08-02,1072.40231553,LIGHTNING
WASPS,WA DNR - SPS REGION,HAVEN LAKE,2014-08-11,167.74417815,HUMAN
WASES,WA DNR - SE REGION,WOOD GULCH,2007-07-13,7665.60427041,LIGHTNING
WACOF,COLVILLE NF,CURVE BALL,2007-07-13,108.7343823,LIGHTNING
WACOF,COLVILLE NF,WINDY RIDGE,2007-07-13,217.65390093,LIGHTNING
WANES,WA DNR - NE REGION,TRIPOD (TRIPOD COMPLEX),2006-07-24,174602.85445785,UNKNOWN
WASES,WA DNR - SE REGION,ELK HEIGHTS,2004-07-30,353.51181446,ARSON
WAOWF,OKAN-WEN NF,ISABEL,2003-09-07,4267.02004645,UNKNOWN
WAOWF,OKAN-WEN NF,GOOSE LAKE,2001-08-13,1282.69201701,UNKNOWN
WAOWF,OKAN-WEN NF,THIRTYMILE,2001-07-23,10344.78766472,UNKNOWN
WACOA,COLVILLE AGENCY,SANDHILLS,2013-08-10,115.85781347,LIGHTNING
WAWFS,WA FIRE SERVICE,COLOCKUM TARPS,2013-07-27,81733.27016772,UNKNOWN
WAYAA,BIA - YAKIMA,JOJO,2013-08-11,4242.96579207,UNKNOWN
WASES,WA DNR - SE REGION,MILEPOST 10,2013-08-09,5443.33991408,LIGHTNING
WASPD,SPOKANE BLM,DESMARAIS,2013-06-07,10132.92422362,UNKNOWN
WASPD,SPOKANE BLM,DENNIS COMMAND,2013-07-04,332.86810106,UNKNOWN
WAOWF,OKAN-WEN NF,EAGLE,2013-08-19,1465.80703442,UNKNOWN
WAWFS,WA FIRE SERVICE,GILMORE GULCH,2015-07-05,7487.72699125,UNKNOWN
WANCP,NORTH CASCADES NP,GOODE,2015-07-29,479.30036122,UNKNOWN
WAWFS,WA FIRE SERVICE,HWY 8,2015-08-04,33104.59216253,UNKNOWN
WASES,WA DNR - SE REGION,DRY CREEK,2017-07-07,336.743809,UNKNOWN
WANES,WA DNR - NE REGION,CANYON CREEK,2017-07-15,3821.67494443,HUMAN
WACOA,COLVILLE AGENCY,REDFORD CANYON,2017-07-15,831.37472668,LIGHTNING
WAWFS,WA FIRE SERVICE,SNAKE RIVER,2017-07-15,3115.00440087,LIGHTNING
WASES,WA DNR - SE REGION,400,2017-07-20,26087.35997476,UNKNOWN
WANES,WA DNR - NE REGION,BISSELL,2017-07-23,414.88922802,UNKNOWN
WAWFS,WA FIRE SERVICE,GLADE 3,2017-07-30,10951.25724417,UNKNOWN
WANWS,WA DNR - NW REGION,SUIATTLE,2017-07-30,216.36617448,HUMAN
WAWFS,WA FIRE SERVICE,HAYES ROAD,2017-08-04,2497.47042341,UNKNOWN
WAMCR,MID COLUMBIA NWR,EAST SADDLE,2017-08-12,17466.1790746,UNKNOWN
WACOF,COLVILLE NF,NOISY CREEK,2017-07-15,4305.36892351,LIGHTNING
WAOWF,OKAN-WEN NF,367,2017-08-11,62.10397897,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,QUARRY,2017-08-11,142.43882377,LIGHTNING
WACOA,COLVILLE AGENCY,BRIDGE CREEK,2017-08-09,3713.47655996,LIGHTNING
WAOWF,OKAN-WEN NF,JOLLY MOUNTAIN,2017-08-11,36817.42084014,LIGHTNING
WAOWF,OKAN-WEN NF,AMERICAN,2017-08-10,3854.96095902,LIGHTNING
WAGPF,GIFFORD PINCHOT NF,EAST CRATER,2017-09-03,483.16909533,HUMAN
WAWFS,WA FIRE SERVICE,MONUMENT HILL,2017-08-16,6255.19395695,UNKNOWN
WASPD,SPOKANE BLM,SILVER DOLLAR,2017-07-02,31740.37813551,UNKNOWN
WAPCS,WA DNR - PC REGION,ARCHER MOUNTAIN,2017-09-05,260.15141424,UNKNOWN
WAOWF,OKAN-WEN NF,CHUMYON,2017-09-29,506.05843442,HUMAN
WAWFS,WA FIRE SERVICE,WHITEHALL,2017-09-30,3460.75621287,UNKNOWN
WAOWF,OKAN-WEN NF,JACK CREEK,2017-08-11,4441.35314656,LIGHTNING
WACOF,COLVILLE NF,COPPER BUTTE,1994-07-23,10574.58736917,UNKNOWN
WACOF,COLVILLE NF,UNKNOWN,1994-07-22,101.32191236,UNKNOWN
WACOF,COLVILLE NF,UNKNOWN,1986-08-21,736.19847419,UNKNOWN
WACOF,COLVILLE NF,WEST HUBBARD,2018-08-11,8.88395635,LIGHTNING
WASPD,SPOKANE BLM,GRASS VALLEY,2018-08-11,76868.10702645,UNKNOWN
WACOF,COLVILLE NF,KELLY MOUNTAIN,2018-08-11,38.01206353,UNKNOWN
WAWFS,WA FIRE SERVICE,BOFFER,2018-08-11,4998.00485379,UNKNOWN
WACOF,COLVILLE NF,SHERMAN,1988-08-24,2222.9646324,UNKNOWN
WANES,WA DNR - NE REGION,ROCK CUT,1995-05-27,20.8211709,UNKNOWN
WACOF,COLVILLE NF,DAY CREEK,2006-10-05,131.14790048,UNKNOWN
